จังหวัด,X,Y
เชียงราย,-54.0,234.0
พะเยา,-46.0,210.0
น่าน,-24.0,196.0
แพร่,-48.0,178.0
ลำปาง,-69.0,187.0
ลำพูน,-90.0,183.0
เชียงใหม่,-103.0,194.0
แม่ฮ่องสอน,-120.0,215.0
อุตรดิตถ์,-43.0,159.0
ตาก,-91.0,136.0
สุโขทัย,-65.0,139.0
พิษณุโลก,-33.0,135.0
เพชรบูรณ์,-15.0,111.0
พิจิตร,-41.0,107.0
กำแพงเพชร,-70.0,111.0
นครสวรรค์,-48.0,89.0
อุทัยธานี,-71.0,78.0
ชัยนาท,-52.0,71.0
ลพบุรี,-25.0,70.0
สุพรรณบุรี,-53.0,54.0
สระบุรี,-22.0,50.0
นครนายก,-14.0,38.0
สิงห์บุรี,-42.0,64.0
อ่างทอง,-40.0,51.0
พระนครศรีอยุธยา,-35.0,43.0
กรุงเทพมหานคร,-27.0,31.0
สมุทรปราการ,-32.0,17.0
สมุทรสาคร,-44.0,15.0
นนทบุรี,-39.0,30.0
สมุทรสงคราม,-56.0,9.0
กาญจนบุรี,-92.0,53.0
ราชบุรี,-72.0,12.0
เพชรบุรี,-70.0,-9.0
ประจวบคีรีขันธ์,-65.0,-48.0
ชุมพร,-84.0,-91.0
ระนอง,-99.0,-105.0
สุราษฎร์ธานี,-83.0,-139.0
พังงา,-112.0,-153.0
ภูเก็ต,-112.0,-179.0
กระบี่,-90.0,-174.0
ตรัง,-71.0,-191.0
พัทลุง,-52.0,-196.0
สงขลา,-33.0,-215.0
สตูล,-58.0,-220.0
ปัตตานี,-6.0,-220.0
ยะลา,-16.0,-247.0
นราธิวาส,8.0,-240.0
นครศรีธรรมราช,-63.0,-163.0
ตราด,33.0,-32.0
จันทบุรี,15.0,-8.0
ระยอง,-7.0,-10.0
ชลบุรี,-14.0,6.0
ฉะเชิงเทรา,-1.0,16.0
สระแก้ว,25.0,23.0
ปราจีนบุรี,4.0,35.0
นครราชสีมา,10.0,55.0
ชัยภูมิ,7.0,100.0
เลย,2.0,148.0
หนองบัวลำภู,23.0,142.0
ขอนแก่น,33.0,118.0
มหาสารคาม,53.0,101.0
บุรีรัมย์,45.0,56.0
สุรินทร์,69.0,68.0
ศรีสะเกษ,94.0,60.0
อุบลราชธานี,120.0,67.0
อำนาจเจริญ,103.0,96.0
ยโสธร,89.0,95.0
ร้อยเอ็ด,68.0,93.0
กาฬสินธุ์,64.0,123.0
มุกดาหาร,99.0,124.0
นครพนม,101.0,146.0
บึงกาฬ,71.0,177.0
หนองคาย,49.0,170.0
สกลนคร,70.0,147.0
อุดรธานี,44.0,147.0
นครปฐม,-54.0,31.0
ปทุมธานี,-15.0,38.0
